,Quality,Aquarius,Aries,Cancer,Capricorn,Gemini,Leo,Libra,Pisces,Sagittarius,Scorpio,Taurus,Virgo
19,First Decanate Keyword,Knowledge,Inspiration,Receptiveness,Responsibility,Ingenuity,Self-Expression,Magnetism,Imagination,Honesty,Integrity,Acquisition,Analysis
20,First Decanate Planet Subruler,Uranus,Mars,Moon,Saturn,Mercury ,Sun,Venus,Neptune,Jupiter,Pluto,Venus,Mercury 
21,Second Decanate,January 30 - February 8,April 1 - April 10,July 1 - July 11,January 1 - January 10,June 1 - June 10,August 2 - August 12,October 3 - October 13,March 1 - March 10,December 2 - December 11,November 2 - November 11,May 1 - May 10,September 2 - September 12
22,Second Decanate Constellation,Piscis,Cetus ,Canus Major,Lyra,Orion,Ursa Major,Centaurus,The Swan,Sagitta,Lupus,Eridanus,Hercules
23,Second Decanate Keyword,Frankness,Innovation,Intensity,Fairness,Union,Expansion,Endurance,Compassion,Drive,Regeneration,Evaluation,Efficiency
24,Second Decanate Planet Subruler,Mercury,Sun,Pluto,Venus,Venus,Jupiter,Uranus,Moon,Mars,Neptune,Mercury,Saturn
25,Third Decanate,February 9 - February 18,April 11 - April 19,July 12 - July 22,January 11 - January 19,June 11 - June 20,August 13 - August 22,October 14 - October 22,March 11 - March 20,December 12 - December 21,November 12 - November 21,May 11 - May 20,September 13 - September 22
26,Third Decanate Constellation,Equuleus,Cassiopeia,Argo Navis,Draco,Auriga,Hydra,Corona,Cepheus,Ara,Aquila,Perseus,Bootes
27,Third Decanate Keyword,Association,Foresight,Empathy,Honor,Reason,Creativity,Order,Action,Intuition,Clarification,Determination,Discrimination
28,Third Decanate Planet Subruler,Venus,Jupiter,Neptune,Mercury,Uranus,Mars,Mercury,Pluto,Sun,Moon,Saturn,Venus
29,Beginning Cusp,January 20 - January 24,March 21 - March 25,June 21 - June 25 ,December 22 - December 26,May 21 - May 25,July 23 - July 27,September 23 - September 27,February 19 - February 23,November 22 - November 26,October 23 - October 27,April 20 - April 24 ,August 23 - August 27
30,Ending Cusp,February 14 - February 18,April 15 - April 19,July 18 - July 22 ,January 15 - January 19,June 16 - June 20,August 18 - August 22,October 18 - October 22,March 16 - March 20,December 17 - December 21,November 17 - November 21,May 16 - May 20 ,September 18 - September 22
31,Keywords,"['revolutionary', 'inventive', 'humanitarian', 'abstract']","['fierce', 'forceful', 'courageous', 'impulsive']","['feelingful', 'intuitive', 'emphatic', 'moody']","['practical', 'ambitious', 'masterful', 'over-serious']","['mental', 'communicative', 'perceptive', 'superficial']","['kingly', 'expressive', ' self-confident', 'ego-centered']","['balanced', 'harmonious', 'reconciling', 'indecisive']","['mystical', 'visionary', 'compassionate', 'escapist']","['friendly', 'open-minded', 'philosophical', 'imprudent']","['intense', 'instinctual', 'sexual', 'secretive']","['sensuous', 'peaceful', 'stable', 'obstinate']","['chaste', 'detail-oriented', 'serving', 'perfectionist']"
